t_ms,Vc_V,ic_mA
30.715358,2.68003066,0.23199693
30.815408,2.68582623,0.23141738
30.915458,2.69160733,0.23083927
31.015508,2.69737398,0.23026260
31.115558,2.70312623,0.22968738
31.215608,2.70886411,0.22911359
31.315658,2.71458765,0.22854123
31.415708,2.72029690,0.22797031
31.515758,2.72599188,0.22740081
31.615808,2.73167264,0.22683274
31.715858,2.73733920,0.22626608
31.815908,2.74299161,0.22570084
31.915958,2.74862990,0.22513701
32.016008,2.75425411,0.22457459
32.116058,2.75986426,0.22401357
32.216108,2.76546040,0.22345396
32.316158,2.77104256,0.22289574
32.416208,2.77661077,0.22233892
32.516258,2.78216508,0.22178349
32.616308,2.78770551,0.22122945
32.716358,2.79323210,0.22067679
32.816408,2.79874488,0.22012551
32.916458,2.80424389,0.21957561
33.016508,2.80972916,0.21902708
33.116558,2.81520073,0.21847993
33.216608,2.82065864,0.21793414
33.316658,2.82610290,0.21738971
33.416708,2.83153357,0.21684664
33.516758,2.83695067,0.21630493
33.616808,2.84235424,0.21576458
33.716858,2.84774431,0.21522557
33.816908,2.85312091,0.21468791
33.916958,2.85848408,0.21415159
34.017009,2.86383386,0.21361661
34.117059,2.86917027,0.21308297
34.217109,2.87449335,0.21255067
34.317159,2.87980313,0.21201969
34.417209,2.88509965,0.21149004
34.517259,2.89038293,0.21096171
34.617309,2.89565302,0.21043470
34.717359,2.90090994,0.20990901
34.817409,2.90615373,0.20938463
34.917459,2.91138442,0.20886156
35.017509,2.91660204,0.20833980
35.117559,2.92180663,0.20781934
35.217609,2.92699822,0.20730018
35.317659,2.93217684,0.20678232
35.417709,2.93734252,0.20626575
35.517759,2.94249529,0.20575047
35.617809,2.94763520,0.20523648
35.717859,2.95276226,0.20472377
35.817909,2.95787652,0.20421235
35.917959,2.96297800,0.20370220
36.018009,2.96806673,0.20319333
36.118059,2.97314276,0.20268572
36.218109,2.97820610,0.20217939
36.318159,2.98325680,0.20167432
36.418209,2.98829487,0.20117051
36.518259,2.99332036,0.20066796
36.618309,2.99833330,0.20016667
36.718359,3.00333371,0.19966663
36.818409,3.00832164,0.19916784
36.918459,3.01329710,0.19867029
37.018509,3.01826013,0.19817399
37.118559,3.02321076,0.19767892
37.218609,3.02814903,0.19718510
37.318659,3.03307496,0.19669250
37.418709,3.03798859,0.19620114
37.518759,3.04288994,0.19571101
37.618809,3.04777904,0.19522210
37.718859,3.05265593,0.19473441
37.818909,3.05752064,0.19424794
37.918959,3.06237320,0.19376268
38.019010,3.06721363,0.19327864
38.119060,3.07204198,0.19279580
38.219110,3.07685826,0.19231417
38.319160,3.08166250,0.19183375
38.419210,3.08645475,0.19135452
38.519260,3.09123503,0.19087650
38.619310,3.09600336,0.19039966
38.719360,3.10075978,0.18992402
38.819410,3.10550432,0.18944957
38.919460,3.11023701,0.18897630
39.019510,3.11495787,0.18850421
39.119560,3.11966695,0.18803331
39.219610,3.12436425,0.18756357
39.319660,3.12904983,0.18709502
39.419710,3.13372369,0.18662763
39.519760,3.13838588,0.18616141
39.619810,3.14303643,0.18569636
39.719860,3.14767536,0.18523246
39.819910,3.15230270,0.18476973
39.919960,3.15691847,0.18430815
40.020010,3.16152272,0.18384773
40.120060,3.16611547,0.18338845
40.220110,3.17069674,0.18293033
40.320160,3.17526657,0.18247334
40.420210,3.17982498,0.18201750
40.520260,3.18437201,0.18156280
40.620310,3.18890767,0.18110923
40.720360,3.19343201,0.18065680
40.820410,3.19794504,0.18020550
40.920460,3.20244680,0.17975532
41.020510,3.20693731,0.17930627
41.120560,3.21141661,0.17885834
41.220610,3.21588471,0.17841153
41.320660,3.22034166,0.17796583
41.420710,3.22478747,0.17752125
41.520760,3.22922217,0.17707778
41.620810,3.23364579,0.17663542
41.720860,3.23805837,0.17619416
41.820910,3.24245992,0.17575401
41.920960,3.24685047,0.17531495
42.021011,3.25123006,0.17487699
42.121061,3.25559871,0.17444013
42.221111,3.25995644,0.17400436
42.321161,3.26430328,0.17356967
42.421211,3.26863927,0.17313607
42.521261,3.27296443,0.17270356
42.621311,3.27727878,0.17227212
42.721361,3.28158235,0.17184176
42.821411,3.28587517,0.17141248
42.921461,3.29015727,0.17098427
43.021511,3.29442867,0.17055713
43.121561,3.29868940,0.17013106
43.221611,3.30293949,0.16970605
43.321661,3.30717896,0.16928210
43.421711,3.31140784,0.16885922
43.521761,3.31562615,0.16843738
43.621811,3.31983393,0.16801661
43.721861,3.32403119,0.16759688
43.821911,3.32821797,0.16717820
43.921961,3.33239430,0.16676057
44.022011,3.33656018,0.16634398
44.122061,3.34071566,0.16592843
44.222111,3.34486076,0.16551392
44.322161,3.34899551,0.16510045
44.422211,3.35311992,0.16468801
44.522261,3.35723404,0.16427660
44.622311,3.36133787,0.16386621
44.722361,3.36543145,0.16345685
44.822411,3.36951481,0.16304852
44.922461,3.37358797,0.16264120
45.022511,3.37765095,0.16223491
45.122561,3.38170378,0.16182962
45.222611,3.38574649,0.16142535
45.322661,3.38977909,0.16102209
45.422711,3.39380163,0.16061984
45.522761,3.39781411,0.16021859
45.622811,3.40181657,0.15981834
45.722861,3.40580903,0.15941910
45.822911,3.40979152,0.15902085
45.922961,3.41376406,0.15862359
46.023012,3.41772668,0.15822733
46.123062,3.42167939,0.15783206
46.223112,3.42562224,0.15743778
46.323162,3.42955523,0.15704448
46.423212,3.43347840,0.15665216
46.523262,3.43739176,0.15626082
46.623312,3.44129535,0.15587046
46.723362,3.44518919,0.15548108
46.823412,3.44907331,0.15509267
46.923462,3.45294771,0.15470523
47.023512,3.45681244,0.15431876
47.123562,3.46066752,0.15393325
47.223612,3.46451297,0.15354870
47.323662,3.46834880,0.15316512
47.423712,3.47217506,0.15278249
47.523762,3.47599176,0.15240082
47.623812,3.47979892,0.15202011
47.723862,3.48359657,0.15164034
47.823912,3.48738474,0.15126153
47.923962,3.49116344,0.15088366
48.024012,3.49493270,0.15050673
48.124062,3.49869255,0.15013074
48.224112,3.50244300,0.14975570
48.324162,3.50618409,0.14938159
48.424212,3.50991583,0.14900842
48.524262,3.51363824,0.14863618
48.624312,3.51735136,0.14826486
48.724362,3.52105520,0.14789448
48.824412,3.52474979,0.14752502
48.924462,3.52843515,0.14715648
49.024512,3.53211131,0.14678887
49.124562,3.53577828,0.14642217
49.224612,3.53943608,0.14605639
49.324662,3.54308476,0.14569152
49.424712,3.54672431,0.14532757
49.524762,3.55035478,0.14496452
49.624812,3.55397617,0.14460238
49.724862,3.55758852,0.14424115
49.824912,3.56119184,0.14388082
49.924962,3.56478617,0.14352138
50.025013,3.56837151,0.14316285
50.125063,3.57194790,0.14280521
50.225113,3.57551535,0.14244846
50.325163,3.57907389,0.14209261
50.425213,3.58262354,0.14173765
50.525263,3.58616433,0.14138357
50.625313,3.58969627,0.14103037
50.725363,3.59321938,0.14067806
50.825413,3.59673369,0.14032663
50.925463,3.60023923,0.13997608
51.025513,3.60373601,0.13962640
51.125563,3.60722405,0.13927760
51.225613,3.61070338,0.13892966
51.325663,3.61417401,0.13858260
51.425713,3.61763598,0.13823640
51.525763,3.62108930,0.13789107
51.625813,3.62453399,0.13754660
51.725863,3.62797008,0.13720299
51.825913,3.63139758,0.13686024
51.925963,3.63481652,0.13651835
52.026013,3.63822692,0.13617731
52.126063,3.64162880,0.13583712
52.226113,3.64502218,0.13549778
52.326163,3.64840708,0.13515929
52.426213,3.65178353,0.13482165
52.526263,3.65515154,0.13448485
52.626313,3.65851114,0.13414889
52.726363,3.66186235,0.13381376
52.826413,3.66520519,0.13347948
52.926463,3.66853967,0.13314603
53.026513,3.67186583,0.13281342
53.126563,3.67518367,0.13248163
53.226613,3.67849323,0.13215068
53.326663,3.68179452,0.13182055
53.426713,3.68508756,0.13149124
53.526763,3.68837237,0.13116276
53.626813,3.69164898,0.13083510
53.726863,3.69491741,0.13050826
53.826913,3.69817767,0.13018223
53.926963,3.70142978,0.12985702
54.027014,3.70467377,0.12953262
54.127064,3.70790966,0.12920903
54.227114,3.71113747,0.12888625
